Feature0,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Strength
550,0,0.33,869,467,0.650449102,0,0,8.8,1,20,3,72.1
467,83,0.33,865,457,0.654311649,0,0,8.53,1,20,3,70.5
412,138,0.33,887,451,0.662929746,0,0,8.25,1,20,3,69.69
357,193,0.33,878,445,0.663643235,0,0,7.98,1,20,3,64.1
440,110,0.33,866,465,0.650638618,0,0,9.35,1,20,3,65.84
330,220,0.33,863,463,0.650829563,0,0,9.08,1,20,3,61.91
220,330,0.33,861,461,0.65128593,0,0,8.8,1,20,3,57.2
522,28,0.33,869,460,0.653875094,0,0,9.63,1,20,3,68.01
495,55,0.33,866,464,0.65112782,0,0,9.08,1,20,3,68.49
440,110,0.33,863,463,0.650829563,0,0,8.8,1,20,3,62.61
385,165,0.33,860,461,0.651021953,0,0,8.53,1,20,3,59.09
495,55,0.33,866,465,0.650638618,0,0,9.63,1,20,3,69.72
440,110,0.33,863,463,0.650829563,0,0,9.63,1,20,3,73.31
385,165,0.33,861,462,0.650793651,0,0,9.9,1,20,3,71.03
495,55,0.33,867,466,0.650412603,0,0,8.9,1,20,3,72.47
440,110,0.33,865,465,0.65037594,0,0,9.08,1,20,3,73.6
385,165,0.33,863,463,0.650829563,0,0,9.85,1,20,3,67.26
550,0,0.33,869,311,0.736440678,1,2,8.8,1,20,3,71.03
467,83,0.33,865,305,0.739316239,1,2,8.53,1,20,3,69.73
412,138,0.33,887,301,0.746632997,1,2,8.25,1,20,3,68.69
357,193,0.33,878,297,0.747234043,1,2,7.98,1,20,3,64.03
440,110,0.33,866,310,0.736394558,1,2,9.35,1,20,3,65.08
330,220,0.33,863,309,0.736348123,1,2,9.08,1,20,3,62.03
220,330,0.33,861,308,0.736526946,1,2,8.8,1,20,3,57
522,28,0.33,869,310,0.73706531,1,2,9.63,1,20,3,66.89
495,55,0.33,866,311,0.735768904,1,2,9.08,1,20,3,68.5
